N      Time         Average_OB     Max_OB   Min_OB  
805    0.000001     403.00         805      1       
806    0.000001     403.50         806      1       
807    0.000001     404.00         807      1       
808    0.000001     404.50         808      1       
809    0.000001     405.00         809      1       
810    0.000001     405.50         810      1       
811    0.000001     406.00         811      1       
812    0.000001     406.50         812      1       
813    0.000001     407.00         813      1       
814    0.000001     407.50         814      1       
815    0.000001     408.00         815      1       
816    0.000001     408.50         816      1       
817    0.000001     409.00         817      1       
818    0.000001     409.50         818      1       
819    0.000001     410.00         819      1       
820    0.000001     410.50         820      1       
821    0.000001     411.00         821      1       
822    0.000001     411.50         822      1       
823    0.000001     412.00         823      1       
824    0.000001     412.50         824      1       
825    0.000001     413.00         825      1       
826    0.000001     413.50         826      1       
827    0.000001     414.00         827      1       
828    0.000001     414.50         828      1       
829    0.000001     415.00         829      1       
830    0.000001     415.50         830      1       
831    0.000001     416.00         831      1       
832    0.000001     416.50         832      1       
833    0.000001     417.00         833      1       
834    0.000001     417.50         834      1       
835    0.000001     418.00         835      1       
836    0.000001     418.50         836      1       
837    0.000001     419.00         837      1       
838    0.000001     419.50         838      1       
839    0.000001     420.00         839      1       
840    0.000001     420.50         840      1       
841    0.000001     421.00         841      1       
842    0.000001     421.50         842      1       
843    0.000001     422.00         843      1       
844    0.000001     422.50         844      1       
845    0.000001     423.00         845      1       
846    0.000001     423.50         846      1       
847    0.000001     424.00         847      1       
848    0.000001     424.50         848      1       
849    0.000001     425.00         849      1       
850    0.000001     425.50         850      1       
851    0.000001     426.00         851      1       
852    0.000001     426.50         852      1       
853    0.000001     427.00         853      1       
854    0.000001     427.50         854      1       
855    0.000001     428.00         855      1       
856    0.000001     428.50         856      1       
857    0.000001     429.00         857      1       
858    0.000001     429.50         858      1       
859    0.000001     430.00         859      1       
860    0.000001     430.50         860      1       
861    0.000001     431.00         861      1       
862    0.000001     431.50         862      1       
863    0.000001     432.00         863      1       
864    0.000001     432.50         864      1       
865    0.000001     433.00         865      1       
866    0.000001     433.50         866      1       
867    0.000001     434.00         867      1       
